Geographic Area,Total Population (As Estimated April 2019),Total Cases,Total Deaths,Currently Active Cases,Recovered ,Total Tests
Alabama,4903185,2006,52,1934,20,14765
Alaska,731545,191,6,170,15,6284
Arizona,7278717,2456,65,2371,20,32534
Arkansas,3017804,927,16,772,139,13264
California,39512223,16019,380,14739,900,116533
Colorado,5758736,5172,150,4982,40,26875
Connecticut,3565287,6906,206,6650,50,26686
Delaware,973764,783,15,697,71,7632
District of Columbia,705749,1097,24,815,258,7453
Florida,21477737,13629,254,13275,100,126048
Georgia,10617423,7314,229,7054,31,31274
Guam,"164,229",121,4,90,27,605
Hawaii,1415872,387,5,293,89,13665
Idaho,1787065,1170,13,1157,0,11246
Illinois,12671821,12262,307,11905,50,62942
Indiana,6732219,4944,139,4791,14,26191
Iowa,3155070,946,25,853,68,11599
Kansas,2913314,845,25,820,0,9084
Kentucky,4467673,1008,59,643,306,19955
Louisiana,4648794,14867,512,14305,50,69166
Maine,1344212,499,10,331,158,6544
Maryland,6045680,4045,91,3770,184,29617
Massachusetts,6892503,13837,260,13567,10,76429
Michigan,9986857,17221,727,16425,69,45748
Minnesota,5639632,986,30,486,470,28128
Mississippi,2976149,1738,51,1687,0,20370
Missouri,6137428,2722,52,2658,12,27173
Montana,1068778,319,6,281,32,6985
Nebraska,1934408,412,8,404,0,6883
Nevada,3080156,1953,46,1871,36,20756
New Hampshire,1359711,715,9,555,151,8734
New Jersey,8882190,41090,1003,39995,92,89032
New Mexico,2096829,686,12,620,54,19198
New York,19453561,131916,4758,113792,13366,320811
North Carolina,10488084,3039,48,2905,86,40045
North Dakota,762062,225,3,148,74,7213
Ohio,11689100,4450,142,4308,0,48378
Oklahoma,3956971,1327,51,893,383,2751
Oregon,4217737,1132,29,1103,0,21801
Pennsylvania,12801989,13127,179,12872,76,83854
Puerto Rico,3193694,513,21,488,4,4951
Rhode Island,1059361,1082,27,1045,10,8481
South Carolina,5148714,2232,48,2184,0,18976
South Dakota,884659,288,4,193,91,6020
Northern Mariana Islands,"55,144",8,1,7,0,33
Tennessee,6829174,3802,65,3381,356,47350
Texas,28995881,8088,151,7179,758,85357
US Virgin Islands,"107,268",43,1,8,34,266
Utah,3205958,1675,13,1636,26,33394
Vermont,623989,543,23,520,0,6633
Virginia,8535519,2878,54,2822,2,24521
Washington,7614893,8326,381,7106,839,91375
West Virginia,1792147,345,4,341,0,9940
Wisconsin,5822434,2440,77,2361,2,29014
Wyoming,578759,212,0,160,52,3929
,,,,,,
United States,331759858,366964,10871,336418,19675,1914491
